,Name,Action
0,BTC-Alpha,"заблокировала аккаунты россиян, приостановила работу с рублями"
1,QMall ,-
2,Refinitiv ,-
3,CEX IO,приостановила регистрацию новых пользователей из России
4,Kuna ,-
5,Porsche,приостановила поставки
6,Jaguar Land Rover,приостановила поставки
7,General Motors,приостановила поставки
8,Volkswagen,приостановила поставки и производство
9,Skoda,приостановила поставки
10,Daimler Truck,приостановила работу с Камазом
11,Ford,приостановила деятельность
12,Scania,приостановила поставки
13,Honda,приостановила поставки
14,Mazda,приостановила поставки
15,Hyundai,приостановила производство
16,Seat,приостановила поставки
17,Lamborghini,приостановила поставки
18,Ducati,приостановила поставки
19,Bentley,приостановила поставки
20,Mercedes-Benz,приостановила производство и поставки
21,Toyota,приостановила производство и поставки
22,Lexus,приостановила производство и поставки
23,MAN,приостановила поставки
24,Nissan,приостановила производство
25,Bridgestone,приостановила производство и поставки
26,Michelin,замораживает все проекты в России
27,Continental,приостановила деятельность
28,Ferrari,приостановила производство для России
29,Suzuki,приостановит поставки
30,Iveco,приостановила продажи
31,Walt Disney,отменила прокат фильмов и приостановила производство
32,WarnerBros,отменила прокат фильмов
33,Sony Pictures,отменила прокат фильмов
34,Universal Pictures,отменила прокат фильмов
35,Netflix,приостановила подписку и производство российских сериалов
36,ITV,приостановила продажу новых лицензий
37,All3Media,приостановила переговоры с вещателями
38,Megogo,перестала работать в России
39,Amazon Prime Video,приостановила подписку
40,Globo,приостановила продажу сериалов
41,BBC Studios,приостановила лицензирование контента для российских партнёров
42,«Ла Скала»,прекратил сотрудничать с российскими артистами
43,«Ковент-Гарден»,прекратил сотрудничать с артистами
44,Мюнхенский филармонический оркестр,прекратил сотрудничать с артистами
45,Метрополитен-опера,прекратил сотрудничать с артистами
46,Spotify,закрыл офис в России
47,Universal Music,приостановила деятельность и закрыла офисы
48,WarnerMedia,приостановила лицензирование нового контента
49,Sony Music,приостановила работу
50,Twitch,прекратила выплаты российским стримерам
51,PlayStation,приостановила работу
52,Nintendo,"отклоняет платежи, приостановила продажи"
53,Steam,отклоняет платежи
54,CD Projekt,приостановила продажи
55,Electronic Arts,российские клубы и сборную удалили из видеоигр; приостановила продажи
56,Rockstar Games,приостановила продажи
57,Activision Blizzard,приостановила продажи
58,Ubisoft,приостановила продажи
59,HomaGames,приостановила сотрудничество
60,GSC Game World,приостановила продажи игр S.T.A.L.K.E.R. и других
61,Supercell,удалила игру Brawl Stars
62,Niantic,удалила игру Pokemon Go
63,Yoox Net-a-Porter Group,приостановила доставку
64,Nike,приостановила доставку
65,Matches,приостановила доставку
66,ASOS,приостановила доставку
67,H&M,"приостановила продажи, в компанию входят Cos, Arket , Monki, The Other Stories"
68,Farfetch,приостановила продажи
69,Mytheresa,приостановила продажи
70,Burberry,приостановила продажи
71,Golden Goose,приостановила продажи
72,Nanushka,приостановила продажи
73,Ganni,приостановила продажи
74,Coperni,приостановила продажи
75,Mango,приостановила работу
76,Marks & Spencer,приостановила поставки
77,Hermes,приостановила продажи
78,Karl Lagerfeld,приостановила продажи
79,Kering,"приостановила деятельность, в компанию входят Gucci, Balenciaga, Yves Saint Laurent, Alexander McQueen, Brioni"
80,Louis Vuitton Moet Hennessy,приостановила деятельность
81,Chanel,приостановила деятельность
