,Company,Action,Industry,Country,tone
0,Cheil Worldwide,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United Kingdom,0
1,CitiGroup,"['ban', 'on', 'all', 'russian', 'competition']",NGO,France,0
2,Citrix,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United States,0
3,CJ CheilJedang,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Switzerland,0
4,Claas Group,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Switzerland,0
5,CSL Behring,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United States,0
6,CUAV Tech Inc.,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Panama,0
7,Cummins,"['ban', 'on', 'all', 'russian', 'competition']",NGO,United States,0
8,Cunningham Lindsey,"['ban', 'on', 'all', 'russian', 'competition']",NGO,Ireland,0
9,Хостинг Ukraine,"['ban', 'people', 'with', 'ties', 'to', 'russian', 'government']",NGO,Germany,0
10,Calzedonia,"['ban', 'russian', 'athletes']",NGO,United Kingdom,0
11,Badminton World Federation,"['ban', 'russian', 'athletes', 'from', 'competing']",Industrials,Switzerland,0
12,CityBee,"['ban', 'russian', 'athletes', 'from', 'competing']",NGO,Switzerland,0
13,Alaric von Teplitz,"['ban', 'russian', 'investments', 'in', 'customers', ""'"", 'portfolios']",Financials,Denmark,0
14,Backendless,"['ban', 'russian', 'teams', 'and', 'officials', 'from', 'participating', 'in', 'basketball', 'events']",NGO,Switzerland,0
15,Chanel,"['ban', 'russian', 'teams', 'from', 'participating', 'in', 'tournaments']",NGO,Finland,0
16,Babolat,"['ban', 'russian', ',', 'belarusian', 'licence', 'holders']",NGO,Switzerland,0
17,CAPRI Holdings,"['bans', 'russian', '&', 'belarussian', 'products']",Consumer Discretionary,Poland,0
18,Bayer,"['bar', 'russian', 'atheletes']",NGO,Germany,0
19,Compass Mining Inc.,"['begins', 'a', 'process', 'aimed', 'at', 'transferring', 'ownership', 'of', 'its', 'russia', 'business']",Consumer Staples,United Kingdom,0
20,AppFollow,"['block', 'bookings', 'and', 'block', 'accepting', 'guests', 'in', 'russia']",Consumer Discretionary,United States,0
21,AkzoNobel,"['block', 'certain', 'illicit', 'russian', 'accounts', 'but', 'not', 'all']",Financials,United States,0
22,China Mobile,"['block', 'marketplace', 'for', 'russian', 'users']",Communication Services,Netherlands,0
23,Baldinini,"['block', 'users', 'located', 'in', 'russia', 'and', 'belarus', 'from', 'using', 'products', 'or', 'services']",Information Technology,United States,0
24,Alliance Healthcare,"['can', 'no', 'longer', 'clear', 'rupee', 'rouble', 'conversions']",Financials,India,0
25,Crocoblock,"['cancel', 'all', 'future', 'orders', 'to', 'russia']",Consumer Staples,United Kingdom,0
26,Asda,"['cancel', 'all', 'tournaments']",NGO,Malaysia,0
27,Bekaert,"['cancel', 'flights', 'to', 'and', 'from', 'russia']",Industrials,Netherlands,0
28,AGC Glass Europe,"['cancel', 'investments', 'in', 'a', 'brand', 'new', 'factory', 'in', 'russia', ';', 'but', 'maintain', 'other', 'activities']",Materials,Belgium,0
29,AerCap,"['cancel', 'new', 'investments', 'in', 'russia']",Industrials,Denmark,0
30,Benteler International,"['cancel', 'production', 'of', 'equipment', 'orders', 'from', 'russian']",Industrials,Japan,0
31,AssuredPartners,"['cancel', 'russian', 'flights']",Industrials,United Kingdom,0
32,Arrival,"['cancel', 'russian', 'flights', 'until', 'july']",Industrials,Austria,0
33,Bridgestone Tire,"['cancel', 'summer', 'cruise', 'ship', 'visits', 'to', 'russia']",Consumer Discretionary,United States,0
34,Aarsleff,"['canceled', 'future', 'investments', 'in', 'russia']",Materials,United States,0
35,Baring Vostok Capital Partners,"['canceling', 'flights', 'to', 'russia']",Industrials,Spain,0
36,Boskalis,"['cease', 'activity', 'with', 'russian', 'customers', '&', 'cease', 'promotion', 'of', 'russian', 'universities']",NGO,United Kingdom,0
37,Chinese Science Organizations,"['cease', 'all', 'activities', 'with', 'russia']",Consumer Discretionary,Germany,0
38,Biomin,"['cease', 'all', 'imports', 'and', 'exports', 'with', 'russia']",Industrials,United Kingdom,0
39,Buzzi Unicem,"['cease', 'all', 'operations', 'in', 'russia', '&', 'cancel', 'trips', 'to', 'russia', 'up', 'to', '2024']",Consumer Discretionary,Switzerland,0
40,AXA,"['cease', 'all', 'operations', 'involving', 'russia']",Consumer Discretionary,Spain,0
41,Cargotec,"['cease', 'all', 'sales', 'and', 'support', 'to', 'all', 'customers', ',', 'users', 'and', 'resellers', 'in', 'russia', '&', 'belarus']",Information Technology,United States,0
42,Coccinelle,"['cease', 'all', 'trading', 'with', 'russia', '.']",Industrials,United Kingdom,0
43,Capgemini,"['cease', 'buying', 'raw', 'materials', 'from', ',', 'or', 'selling', 'our', 'products', 'to', ',', 'russian', 'businesses']",Materials,United States,0
44,Azimut Holding,"['cease', 'cooperation', 'with', 'governmental', 'agencies', 'in', 'russia']",NGO,Belgium,0
45,Canva,"['cease', 'leasing', 'activity', 'with', 'russian', 'airlines']",Industrials,Ireland,0
46,АВВ,"['cease', 'new', 'business', 'initiatives', 'but', 'continue', 'existing', 'clinical', 'trials', ',', 'and', 'distributing', 'health', 'products']",Health Care,United States,1
47,Carl Zeiss AG,"['cease', 'operations', 'in', 'russia', 'and', 'transfer', 'them', 'to', 'an', 'independent', 'entity']",Industrials,United States,0
48,A&D,"['cease', 'trading', 'operations', 'with', 'russia', '&', 'belarus', ';', 'running', 'plants', 'in', 'russia']",Industrials,Germany,0
49,Cogent Communications,"['ceased', 'all', 'business', 'activities', 'in', 'russia']",Consumer Discretionary,Poland,0
50,Coperion,"['ceased', 'all', 'sales', 'to', 'this', 'market', 'at', 'the', 'onset', 'of', 'the', 'war', 'and', 'blocked', 'russian', 'state', 'radio']",Consumer Discretionary,United States,0
51,Celanese,"['ceased', 'business', 'activity', 'in', 'russia']",Materials,Germany,0
52,Citi,"['ceased', 'operations', 'in', 'russia']",Consumer Discretionary,United Kingdom,0
53,Commerzbank,"['ceased', 'purchase', 'of', 'any', 'products', 'from', 'russian', 'or', 'directly', 'related', 'companies']",Energy,Portugal,0
54,Copelouzos Group,"['ceded', 'control', 'of', 'its', 'operations', 'in', 'russia']",Industrials,France,0
55,Cooperl Arc Atlantique,"['cessation', 'of', 'all', 'activities', 'in', 'russia']",Financials,France,0
56,Becker Mining Systems AG,"['close', 'all', 'stores', 'in', 'russia']",Consumer Discretionary,France,0
57,Cape plc,"['close', 'offices', 'in', 'moscow']",Information Technology,United States,0
58,China United Network Communications,"['close', 'offices', 'in', 'russia', '&', 'cease', 'all', 'operations']",Information Technology,United States,0
59,Carnival Corporation,"['close', 'operations', 'in', 'russia']",Real Estate,Sweden,0
60,Crocs,"['close', 'operations', ';', 'transfer', 'of', 'some', 'business']",Consumer Discretionary,Belarus,0
61,Cleary Gottlieb,"['close', 'rep', 'office', 'and', 'withdraw', 'ships']",Industrials,Luxembourg,0
62,Cheminova A/S,"['close', 'russia', 'office', ';', 'transfer', 'russia', 'practice', 'to', 'local', 'partners', 'and', 'counsels']",Industrials,United Kingdom,0
63,Atlas Copco,"['close', 'russia', 'stores']",Consumer Discretionary,Canada,0
64,Boohoo Group,"['close', 'russian', 'accounts']",Information Technology,United States,0
65,Chopard,"['close', 'russian', 'business']",Industrials,United Kingdom,0
66,CeraVe,"['close', 'russian', 'office']",Industrials,United States,0
67,Crunchyroll,"['close', 'russian', 'office']",Industrials,United States,0
68,Coface,"['close', 'russian', 'offices']",Industrials,United States,0
69,Bartec,"['close', 'russian', 'stores', 'and', 'suspend', 'sales']",Consumer Discretionary,Spain,2
70,Bulgaria Air,"['close', 'shops', 'and', 'online', 'store', 'in', 'russia']",Consumer Discretionary,Spain,0
71,Clarivate,"['closed', 'its', 'site', 'in', 'russia']",Information Technology,United States,0
72,China Minmetals,"['closing', 'business', 'in', 'russia']",Industrials,United Kingdom,0
73,China Taly Aviation Technologies Corp.,"['closing', 'business', 'in', 'russia']",Industrials,United States,0
74,CRAFTD,"['closing', 'operations', 'in', 'russia']",Communication Services,United States,0
75,Captain Morgan,"['closing', 'tpm', 'russia', 'subsidiary', 'due', 'to', 'war', 'in', 'ukraine']",Industrials,United States,0
76,Brenntag,"['closure', 'of', 'plants']",Consumer Discretionary,Spain,0
77,Международная федерация хоккея на льду,"['commerical', 'activity', 'suspended']",Materials,Portugal,0
78,Costa Coffee,"['complete', 'withdrawal', 'from', 'russia']",Industrials,Poland,0
79,Costco,"['conclude', 'total', 'exit', 'from', 'russia']",Information Technology,Finland,0
80,Alibaba,"['continue', 'current', 'business', '&', 'stop', 'all', 'new', 'sales', 'efforts', 'in', 'russia']",Information Technology,United States,1
81,Международная федерация университетского спорта,"['continue', 'essential', 'health', 'and', 'hygiene', 'products']",Consumer Staples,United States,1
82,Actava Trading DMCC,"['continue', 'operating', 'in', 'russia', 'but', 'very', 'limited', 'curtailment', 'of', 'some', 'activities']",Information Technology,United States,1
83,Gurock,"['continue', 'operations']",Alcohol & Tobacco,USA,1
84,Guru,"['continue', 'operations']",FMCG,France,1
85,GXO Logistics,"['continue', 'operations']",FMCG,France,1
86,H. Stern,"['continue', 'operations']",FMCG,Switzerland,1
87,H.B. Fuller,"['continue', 'operations']",FMCG,USA,1
88,H&M,"['continue', 'operations']",Automotive,China,1
89,"H&M (COS, Monki и др.)","['continue', 'operations']",Automotive,South Korea,1
90,H&M (Hennes and Mauritz),"['continue', 'operations']",Alcohol & Tobacco,Belgium,1
91,Haas Automation,"['continue', 'operations']",Food & Beverages,USA,1
92,Habanos,"['continue', 'operations']",Electronics,China,1
93,Habasit Holding,"['continue', 'operations']",Consumer Goods & Clothing,United Kingdom,1
94,Hachette,"['continue', 'operations']",Automotive,China,1
95,Hager Group,"['continue', 'operations']",FMCG,Germany,1
96,Haier,"['continue', 'operations']",Automotive,Japan,1
97,Hain Celestial,"['continue', 'operations']","Energy, Oil & Gas",USA,1
98,Hainan Airlines,"['continue', 'operations']",Consumer Goods & Clothing,Turkey,1
99,Hakuhodo,"['continue', 'operations']",Automotive,China,1
100,Haldor Topsøe,"['continue', 'operations']",Consumer Goods & Clothing,France,1
101,Halewood International,"['continue', 'operations']",Logistics & Transport,Germany,1
102,Halliburton,"['continue', 'operations']",Construction & Architecture,Turkey,1
103,HALO Electronics,"['continue', 'operations']",Pharma & Healthcare,Slovenia,1
104,Halyk Bank,"['continue', 'operations']",Finance & Payments,Italy,1
105,Hamburg Süd,"['continue', 'operations']",Food & Beverages,Netherlands,1
106,Hamburger Hafen und Logistik AG,"['continue', 'operations']",Consumer Goods & Clothing,France,1
107,Hamleys,"['continue', 'operations']",Industrial Equipment,Germany,1
108,Hampidjan,"['continue', 'operations']",Automotive,Germany,1
109,"Hangzhou Fuyang Koto Machinery Co., Ltd (Koto Machinery)","['continue', 'operations']",Chemical Industry,Turkey,1
110,Haniel,"['continue', 'operations']",Electronics,USA,1
111,Hanjin Group,"['continue', 'operations']",Pharma & Healthcare,Israel,1
112,Hannover Re,"['continue', 'operations']",Food & Beverages,Thailand,1
113,Hansgrohe,"['continue', 'operations']",Conglomerate,South Africa,1
114,Hapag Lloyd,"['continue', 'operations']",Electronics,Turkey,1
115,Hapag-Lloyd,"['continue', 'operations']",Consumer Goods & Clothing,Sweden,1
116,Harbin Bank,"['continue', 'operations']",Pharma & Healthcare,Germany,1
117,Hard Rock Café,"['continue', 'operations']",Automotive,China,1
118,HARIBO,"['continue', 'operations']",Consumer Goods & Clothing,Italy,1
119,Harley-Davidson,"['continue', 'operations']",Automotive,China,1
120,Harman Connected Services,"['continue', 'operations']",Logistics & Transport,France,1
121,Harman International,"['continue', 'operations']",Consumer Goods & Clothing,Poland,1
122,Harrods,"['continue', 'operations']",Conglomerate,Japan,1
123,Harting,"['continue', 'operations']",Electronics,China,1
124,HARTMANN GROUP,"['continue', 'operations']",Pharma & Healthcare,Germany,1
125,Harvia,"['continue', 'operations']",Food & Beverages,Italy,1
126,Hasbro,"['continue', 'operations']",Construction & Architecture,Japan,1
127,HashiCorp,"['continue', 'operations']",Automotive,South Korea,1
128,HASSLACHER Holding,"['continue', 'operations']",Food & Beverages,France,1
129,Hatch Ltd,"['continue', 'operations']",Electronics,Italy,1
130,Hauhinco Maschinenfabrik,"['continue', 'operations']",Electronics,Japan,1
131,Haulotte Group,"['continue', 'operations']",Pharma & Healthcare,Germany,1
132,Haval Motor,"['continue', 'operations']",Online Trading,China,1
133,Havana Club,"['continue', 'operations']",Food & Beverages,France,1
134,Havas,"['continue', 'operations']",Consumer Goods & Clothing,Germany,1
135,Havas Group,"['continue', 'operations']",Food & Beverages,South Korea,1
136,HAVI,"['continue', 'operations']",Food & Beverages,Germany,1
137,Hayat Holding,"['continue', 'operations']",Pharma & Healthcare,Germany,1
138,Hays,"['continue', 'operations']",FMCG,Netherlands,1
139,Hays plc,"['continue', 'operations']",Food & Beverages,Israel,1
140,HCL Technologies,"['continue', 'operations']",Pharma & Healthcare,Belgium,1
141,HDFC Bank,"['continue', 'operations']",Food & Beverages,Germany,1
142,HDrezka,"['continue', 'operations']",Agriculture,Germany,1
143,Hearst,"['continue', 'operations']",Defense,China,1
144,Hearst Communications,"['continue', 'operations']",Consumer Goods & Clothing,Germany,1
145,HEE Trans European Management GmbH,"['continue', 'operations']",IT,Germany,1
146,Heel,"['continue', 'operations']",Electronics,Greece,1
147,HeidelbergCement,"['continue', 'operations']",Food & Beverages,United Kingdom,1
148,HEIDENHAIN,"['continue', 'operations']",Chemical Industry,China,1
149,Heidrick & Struggles,"['continue', 'operations']",Electronics,China,1
150,Heineken,"['continue', 'operations']",Pharma & Healthcare,Hungary,1
151,Heinzmann,"['continue', 'operations']",Automotive,Egypt,1
