№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
1;3М ВОЛГА, ООО;1121674003384;3M VOLGA, OOO;"ООО""3М ВОЛГА""";16.08.2012;10,5;1646033450;Торговля оптовая прочими бытовыми товарами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;4;8;7;8;7;"""left""";13 300 000;104 722 000;218 916 000;19 484 000;153 458 000;-154 449 000;-147 371 000;-135 529 000;-196 685 000;-172 832 000
2;CCC, ООО;1198617007027;OOO C, CJSC;"ООО ""CCC""";18.06.2019;3,5;8608060872;Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;4;6;9;"""left""";;;;65 126 000;47 022 000;;;-381 000;8 130 000;213 000
3;WIX-SZ, ООО;1133538000133;WIX-SZ, OOO;"ООО ""WIX-SZ""";12.02.2013;10,0;3526030067;Работы строительные специализированные прочие, не включенные в другие группировки;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;2;1;3;2;"""SMEs Russia"", ""left""";18 049 000;11 592 000;5 157 000;11 399 000;15 481 000;558 000;548 000;279 000;422 000;543 000
4;А.С. ГРУПП, ООО;1192375029120;A.S. GROUP, LLC;"ООО ""А.С. ГРУПП""";16.04.2019;4,0;2310213891;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Собственность иностранных граждан и лиц без гражданства;Микропредприятия;;;1;2;1;"""left""";;;1 586 000;5 833 000;;;;-2 667 000;-914 000
5;АББ, ООО;1027739194340;ABB, OOO;"ООО ""АББ""";13.12.2000;22,0;7727180430;Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;501 - 1 000;501 - 1 000;;;;"""РОБОТОТЕХНИКА"", ""left"", ""ИНН робо""";21 012 268 000;23 143 045 000;22 362 311 000;23 544 957 000;23 339 744 000;1 908 551 000;1 011 902 000;1 142 817 000;-33 797 000;1 555 765 000
6;АВАНГАРД, ООО;1167536052353;AVANGARD, OOO;"ООО ""АВАНГАРД""";25.03.2016;7,0;7536158218;Деятельность спортивных объектов;Общества с ограниченной ответственностью;Частная собственность;;1;;1;;;"""left""";;;;;;;;;;
7;АВАСТ, ООО;1227700069475;AVAST, OOO;"ООО ""АВАСТ""";14.02.2022;1,0;9704118260;Торговля оптовая прочими строительными материалами и изделиями;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
8;АВВ, АО;1025801441280;AVV, AO;"АО ""АВВ""";13.04.1995;28,0;5837009706;Аренда и управление собственным или арендованным недвижимым имуществом;Непубличные акционерные общества;Частная собственность;Микропредприятия;8;6;5;4;3;"""SMEs Russia"", ""left""";25 717 000;14 585 000;10 632 000;6 131 000;2 777 000;2 105 000;2 727 000;-154 000;-109 000;-6 573 000
9;АВЕДА, ООО;1167746695467;AVEDA, OOO;"ООО ""АВЕДА""";25.07.2016;6,5;7702404110;Стоматологическая практика;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;1;2;5;5;"""left""";;1 271 000;6 653 000;21 860 000;43 835 000;-12 000;-7 473 000;-12 825 000;3 512 000;2 988 000
10;АВИАКОМПАНИЯ ВОЛГА-ДНЕПР, ООО;1077328004841;AVIAKOMPANIYA VOLGA-DNEPR, OOO;"ООО "" АВИАКОМПАНИЯ ВОЛГА-ДНЕПР""";24.04.2007;15,5;7328510118;Перевозка воздушным грузовым транспортом, не подчиняющимся расписанию;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";15 550 438 000;11 721 950 000;7 542 733 000;15 114 169 000;18 875 859 000;3 633 764 000;6 924 264 000;-2 147 910 000;4 888 297 000;5 217 270 000
11;АВИАЦИОННО-КОСМИЧЕСКИЙ ФОНД, МОФ;1037746023061;AVIATSIONNO-KOSMICHESKI FOND, MOF;"МОФ ""АВИАЦИОННО-КОСМИЧЕСКИЙ ФОНД""";24.12.2003;19,0;7730175408;Деятельность экстерриториальных организаций и органов;Общественные фонды;Собственность общественных объединений;;0 - 5;;;;;"""left""";;;;;;-53 000;-159 000;-45 000;10 000;6 000
12;АВИД, ООО;1175958012394;AVID, OOO;"ООО ""АВИД""";23.03.2017;6,0;5905051018;Ремонт машин и оборудования;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;1;1;1;"""left""";;;34 000;;2 352 000;;;-1 902 000;-656 000;-1 140 000
13;АВИРА, ООО;1095905001026;AVIRA, OOO;"ООО ""АВИРА""";17.02.2009;14,0;5905268860;Торговля оптовая играми и игрушками;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;43;47;41;26;21;"""SMEs Russia"", ""left""";290 483 000;289 683 000;211 027 000;130 063 000;107 819 000;6 161 000;8 873 000;4 856 000;2 220 000;1 505 000
14;АВТОВАЗ, АО;1026301983113;AVTOVAZ, AO;"АО ""АВТОВАЗ""";05.01.1993;30,0;6320002223;Производство легковых автомобилей;Непубличные акционерные общества;Частная собственность;Крупные предприятия;> 5 000;36 459;;;;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";233 826 000 000;291 773 000 000;292 009 645 000;256 851 214 000;301 234 909 000;-13 485 000 000;1 010 000 000;-37 632 000;592 603 000;4 942 259 000
15;АГРИКООП. ГРУППА АНЕКООП, ООО;1097746777589;AGRIKOOP. GRUPPA ANEKOOP, OOO;"ООО ""АГРИКООП. ГРУППА АНЕКООП""";04.12.2009;13,0;7719738110;Торговля оптовая фруктами и овощами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;7;7;7;7;5;"""left""";239 326 000;305 847 000;265 373 000;424 254 000;222 206 000;2 450 000;8 035 000;2 453 000;12 233 000;-18 011 000
