Name,Action,Industry,Country,Grade
Agrana,continue operating plant in Russia,Consumer Staples,Austria,F
Agricultural Bank of China,Russian companies open accounts with the bank; decline to comment,Financials,China,F
Air China,still flying to Russia,Industrials,China,F
Air Serbia,still flying to Russia,Industrials,Serbia,F
Alibaba,still operating in Russia,Consumer Discretionary,China,F
Align Technology,still operating in Russia,Health Care,United States,F
Alpina Žiri,distributors in Russia,Consumer Discretionary,Slovenia,F
Alumil,Not disclosed publicly,Materials,Greece,F
Anadolu Efes,still operating in Russia,Consumer Staples,Turkey,F
ANT Group,joint venture with the Russian Sovereign Wealth Fund,Information Technology,China,F
Anta Sports,still operating and providing online sales to Russia,Consumer Discretionary,China,F
Antal,still operating and actively hiring in Russia,Industrials,United Kingdom,F
AnyDesk Software,still providing services to Russia; not disclosed publicly,Information Technology,Germany,F
Ariston Group,still operating and actively hiring in Russia,Consumer Discretionary,Italy,F
Auchan-Retail,still operating in Russia,Consumer Staples,France,F
AUMA Riester GmbH & Co,Still operating in and selling to Russia,Industrials,Germany,F
B. Braun,still operating in Russia,Health Care,Germany,F
Babolat,still operating and selling to Russia,Consumer Discretionary,France,F
Bajaj Auto,business as usual,Consumer Discretionary,India,F
Benetton,continue operations in Russia,Consumer Discretionary,Italy,F
Bharat Petroleum (BPCL),bought 2 million barrels of Russian Urals for May loading,Energy,India,F
Binbit,Operating in Russia,Communication Services,Mexico,F
Boggi,still operating in Russia & online sales running,Consumer Discretionary,Italy,F
Bonduelle,still operating in Russia,Consumer Staples,France,F
BPW,still cooperating with dealers in Russia; not disclosed publicly,Consumer Discretionary,Germany,F
Bruker,Business as usual,Industrials,United States,F
BT Group,Business as usual,Communication Services,United Kingdom,F
Buzzi Unicem,continue operating plants in Russia,Materials,Italy,F
Calzedonia,continue sales in Russia,Consumer Discretionary,Italy,F
Camille Albane,franchised salons continue to operate,Consumer Discretionary,France,F
Carl's Jr. | CLK,still operating in Russia,Consumer Discretionary,United States,F
Cham Wings,still flying to Russia,Industrials,Syria,F
ChampionX,Business as usual,Energy,United States,F
Charoen Pokphand Foods,still operating in Russia,Consumer Staples,Thailand,F
Check Point Software,selling cybersecurity products in Russia,Information Technology,Israel,F
China Communications Construction Company,planning new infrastructural projects,Industrials,China,F
China Construction Bank,Russian companies open accounts with the bank; decline to comment,Financials,China,F
China Life Insurance Company,"offices in Russia, actively looks for new Russian employees",Financials,China,F
China Minmetals,discussing investments with Chinese government to booster stakes in Russian energy and commodity companies,Materials,China,F
China Mobile,business as usual,Communication Services,China,F
China National Petroleum Corporation,business as usual,Energy,China,F
China Railway Construction Corporation,continues to build Vladivostok highway in March 2022,Industrials,China,F
China Railway Engineering Corporation,business as usual,Industrials,China,F
China State Construction Engineering,contractor to the Russian state,Industrials,China,F
China State Railway Group Company,increasing coal shipments from Russia,Industrials,China,F
China United Network Communications,a subsidiary in Russia: China Unicom (Russia) Operations Limited Liability Company; business as usual,Communication Services,China,F
Chipita,Not disclosed publicly; still operating in Russia,Consumer Staples,Greece,F
CLAAS,still operating in Russia; not disclosed publicly,Industrials,Germany,F
Clarins,still selling online in Russia,Consumer Discretionary,France,F
CLINTON,still operating in Russia (Camp David),Consumer Discretionary,Germany,F
Cloudflare,continue sales & services in Russia,Information Technology,United States,F
Coal India,expecting highest import level in 2 years,Energy,India,F
Coface,Business as usual,Financials,France,F
Cofix Coffee,maintains locations in Russia,Consumer Staples,Israel,F
Colin's,still selling online,Consumer Discretionary,Turkey,F
Coloplast,Business as usual,Health Care,Denmark,F
Convatec,Business as usual,Health Care,United Kingdom,F
Corendon Airlines,still flying to Russia,Industrials,Turkey,F
Cremonini Group,continue sales in Russia,Consumer Staples,Italy,F
Criteo,Business as usual,Consumer Discretionary,France,F
De Cecco,continue sales and operations in Russia,Consumer Staples,Italy,F
Deep in Russia,still offering trips to Russia,Industrials,Belgium,F
Dentsply Sirona,Business as usual,Health Care,United States,F
Dessange International,still operating salons in Russia,Consumer Discretionary,France,F
Didi,explicitly reversed decision to exit Russia,Industrials,China,F
Diesel,still operating in Russia; not disclosed,Consumer Discretionary,Italy,F
Dinex A/S,Business as usual,Consumer Discretionary,Denmark,F
Doka,still manufacturing in Russia; not disclosed,Industrials,Austria,F
Dr Reddys Labs,business as usual; plans new brands in Russia,Health Care,India,F
Duol,still operating in Russia,Consumer Discretionary,Slovenia,F
Egger,still operating in Russia,Industrials,Austria,F
Egyptair,still flying to Russia,Industrials,Egypt,F
ELA Container,still selling in Russia,Industrials,Germany,F
ElvalHalcor,Not disclosed publicly,Materials,Greece,F
Emirates Airlines,still flying to Russia,Industrials,United Arab Emirates,F
EMS-Chemie,still operating in Russia,Materials,Switzerland,F
Etam,still selling to Russia,Consumer Discretionary,France,F
Etihad Airways,still flying to Russia,Industrials,United Arab Emirates,F
Euronet Worldwide,Business as usual,Financials,United States,F
FAW Group,remains silent on whether they will continue operations,Industrials,China,F
Fenzi Group,still operating in Russia,Industrials,Italy,F
Fleetcor,business as usual,Financials,United States,F
Fluidra,continuing sales in Russia,Industrials,Spain,F
Fondital,still operating and investing in Russia,Industrials,Italy,F
Foraco,still operating in Russia,Energy,France,F
Fresenius,still operating in Russia,Health Care,Germany,F
Frigoglass,still operating in Russia,Industrials,Greece,F
FS Mackenzie,Business as usual,Industrials,United Kingdom,F
Geoplin,still purchasing Russian gas from Gazprom,Energy,Slovenia,F
Gerry Weber,Business as usual,Consumer Discretionary,Germany,F
Globus,still operating in Russia,Consumer Staples,Germany,F
Gorenje,still operating in Russia,Consumer Discretionary,Slovenia,F
Groupe Le Duff,still operating in Russia,Consumer Discretionary,France,F
Groupe Savencia,still operates in Russia,Consumer Staples,France,F
Grupo Borges | ITLV,still operating in Russia,Consumer Staples,Spain,F
Grupo Fuertes,still operating in Russia,Consumer Staples,Spain,F
Guess,Business as usual,Consumer Discretionary,United States,F
Haier,planning expansion in Russia,Consumer Discretionary,China,F
Heidenhain,still operating in Russia through a third-party; not disclosed publicly,Information Technology,Germany,F
Heliski Russia,cooperating with sanctioned individuals,Industrials,France,F
Hengli Group,business as usual,Energy,China,F
Herend,still operating in Russia,Consumer Discretionary,Hungary,F
Hoffmann Group,still operating and advertising in Russia,Industrials,Germany,F
Honor,business as usual,Information Technology,China,F
Huntsman Corporation,still operating in Russia,Materials,United States,F
Ideal Molde,still selling to Russia,Industrials,Portugal,F
Indian Oil Corporation,signed new deal to import Russian oil,Energy,India,F
IndusInd Bank,Approved for rupee trade with Russia,Financials,India,F
Industrial Bank (China),"offices operating in Moscow, did not answer for Reuters' calls for commenting on that",Financials,China,F
IQVIA,still operating and actively hiring,Industrials,United States,F
Iridium,Business as usual,Communication Services,United States,F
Itochu,continues oil & gas exploration partnerships,Consumer Staples,Japan,F
JD.com,business as usual - the Russian store is still fully operational,Industrials,China,F
Jean Cacharel,still selling and advertising in Russia,Consumer Discretionary,France,F
JKX,Business as usual,Energy,United Kingdom,F
JSW Steel,Increased business with Russia,Materials,India,F
Kawasaki,"still operating in Russia, providing online sales, and cooperating with dealers",Industrials,Japan,F
Kidzania,Operating facility in Russia,Communication Services,Mexico,F
Kleemann,Not disclosed publicly,Industrials,Greece,F
Kotanyi,still exporting to Russia,Consumer Staples,Austria,F
Koton,still advertising  and selling to Russia,Consumer Discretionary,Turkey,F
Krka,still operating in Russia,Health Care,Slovenia,F
Kronospan,still operating in Russia,Materials,Austria,F
Kweichow Moutai,business as usual,Consumer Staples,China,F
La Redoute,still selling products to Russia,Consumer Discretionary,France,F
Lacoste,still operating in Russia,Consumer Discretionary,France,F
LACTALIS,still operating in Russia,Consumer Staples,France,F
Larsen & Toubro,Business as usual,Real Estate,India,F
Lemken,still operating and advertising in Russia,Industrials,Germany,F
Leptos Estates,continues operations in Russia,Real Estate,Cyprus,F
Letique Cosmetics,maintains stores in Russia,Consumer Staples,Latvia,F
Liebherr,No action taken; still operating in Russia,Industrials,Switzerland,F
LiSEC,still operating in Russia,Industrials,Austria,F
Luka Koper,continuing trans shipments,Industrials,Slovenia,F
Makita,still working with dealers in Russia,Industrials,Japan,F
Makrochem SA,still operating in Russia,Industrials,Poland,F
Match Group,continue to operate in Russia including Tinder,Communication Services,United States,F
Maxam,still operating in Russia,Materials,Spain,F
Micro-Star International Co. (MSi),still operating in Russia,Information Technology,Taiwan,F
Mitsubishi Heavy Industries,still operating in Russia,Industrials,Japan,F
Mitsui,continuing operations within sanctions compliance & shares in Sakhalin-2 project,Materials,Japan,F
Mizuho Financial Group,still operating in Russia,Financials,Japan,F
Mod's Hair,still operates in Russia,Consumer Discretionary,France,F
"MOL | Mitsui O.S.K. Lines, Ltd.",still operating in Russia,Industrials,Japan,F
Muehlhan AG,Business as usual,Materials,Germany,F
New Yorker Marketing & Media GmbH,continue to operate and open new stores,Industrials,Germany,F
NIS Serbia,partnership with Gazprom Neft; Gazprom has a 50% stake in NIS,Energy,Serbia,F
Nordson,Business as usual,Materials,United States,F
Oasis Logistics Corp,“We are actively exploring opportunities to work with our Russian partners”,Industrials,China,F
OBO Bettermann,still operating in Russia,Industrials,Germany,F
OCSiAl,still running research center and branch,Information Technology,Luxembourg,F
OKI,still operating in Russia; not disclosed,Information Technology,Japan,F
ONGC,Selling of Russian Sokoil to other Indian Nationalised Energy corps,Energy,India,F
Oppo,business as usual,Information Technology,China,F
Orano,still operating in Russia,Energy,France,F
Patreon,still providing services to Russia,Financials,United States,F
Pegasus,still flying to Russia,Industrials,Turkey,F
Perfetti Van Melle,still operating in Russia; not disclosed publicly,Consumer Staples,Italy,F
Petrofac,Business as usual,Energy,United Kingdom,F
Pidilite Ind,Business as usual - Imports to Russia,Materials,India,F
Plastika Kritis,Not disclosed publicly,Materials,Greece,F
Poly Real Estate,"a sister company is Poly Technologies, one of China's largest arms exporters and has been sanctioned by the United States; in Russian tax registry",Real Estate,China,F
Posco,operating through a Russian subsidiary,Materials,South Korea,F
PowerChina,"cooperating with a Russian bank ""Solidarnost"" on off-shore projectes",Energy,China,F
Projahn,still operating in Russia through a subsidiary,Industrials,Germany,F
Provalliance Group (Jean Louis David),affiliates still operating in Russia,Consumer Discretionary,France,F
Qatar Airways,still flying to Russia,Industrials,Qatar,F
Quicksilver,online sales still running,Consumer Discretionary,United States,F
Raba,maintain commerical ties with Russian Kamaz,Industrials,Hungary,F
Rabe Moden,still  advertising and selling to Russia via Telegram,Consumer Discretionary,Germany,F
Raiffeisen Bank International,still operating in Russia,Financials,Austria,F
Reckitt Benckiser Group,"pledge to exit Russia, but still no action a year later while actively hiring",Consumer Staples,United Kingdom,F
Reliance,Buying Russian fuel,Energy,India,F
Richter Spielgeräte GmbH,Continues supplying playground equipment,Consumer Discretionary,Germany,F
Riko,still operating in Russa,Industrials,Slovenia,F
Riot Games,still operating in and selling to Russia,Consumer Discretionary,United States,F
Russia Fachspedition Dr. Lassmann,still operating in Russia,Industrials,Austria,F
SAIC Motor,remains operational; plans to increase export,Industrials,China,F
Salzgitter,Business as usual,Materials,Germany,F
Sanatmetal,still operating in Russia,Health Care,Hungary,F
Sany Heavy Industries,business as usual,Industrials,China,F
Sarstedt AG,Business as usual,Health Care,Germany,F
Sbarro Pizza,still operating in Russia and allowing placing online orders,Consumer Discretionary,United States,F
SBI,Facilitating rupee trade with Russia,Financials,India,F
Schoeller Bleckmann,still operating in Russia,Industrials,Austria,F
Semiconductor Manufacturing International Corporation,defies US sanctions by continuing to export to Russia,Information Technology,China,F
Shanghai Fosun Pharmaceutical,business as usual,Health Care,China,F
Siemens Healthineers,continue to support healthcare providers,Health Care,Germany,F
Signet Armorite,operating in Russia through a subsidiary,Consumer Discretionary,United States,F
Sisecam,still operating in Russia through subsidiaries,Materials,Turkey,F
SMC,still operating in Russia,Industrials,Japan,F
Société Bic,still operating and actively hiring in Russia,Consumer Discretionary,France,F
Soler & Palau Ventilation Group,"Business as usual, 15 listed distributors",Industrials,Spain,F
Stada Arzneimittel,still operating in Russia,Health Care,Germany,F
State Grid Corporation of China,business as usual,Utilities,China,F
Storck,continue candy sales in Russia,Consumer Staples,Germany,F
Stryker,continue sales and imports to Russia,Health Care,United States,F
Sucden,Business as usual,Financials,France,F
Sun Pharma,Business as usual,Health Care,India,F
SWISS KRONO,still operating plant in Russia,Industrials,Switzerland,F
Symrise,Business as usual,Consumer Discretionary,Germany,F
Syngenta,still operating in Russia,Health Care,China,F
Tencent,major investment in VK,Communication Services,China,F
Tenneco,still operating in Russia; deny comments,Consumer Discretionary,United States,F
TEPCO,continues purchases of Russian gas,Utilities,Japan,F
Teva,no action taken; still operating Russia,Health Care,Israel,F
TGI Friday's,still operating in Russia,Consumer Discretionary,United States,F
The China Coal Transportation and Distribution Association,big power plants and about 20 Russian coal companies discussed plans to increase bilateral trade,Energy,China,F
Titan International,still operating in Russia,Industrials,United States,F
